Seed,TTL Feature,Perturbation (%),Attack Category,Samples,RF TPR,MLP TPR
7,sttl,10,Analysis,677,0.7607090103397341,0.9719350073855244
7,sttl,10,Backdoor,583,0.8850771869639794,0.9605488850771869
7,sttl,10,DoS,4089,0.2817314746881878,0.8425042797750061
7,sttl,10,Exploits,11132,0.419601149838304,0.6939453826805605
7,sttl,10,Fuzzers,6062,0.5874298911250413,0.4092708677004289
7,sttl,10,Generic,18871,0.9820889195061205,0.9153727942345398
7,sttl,10,Reconnaissance,3496,0.3512585812356979,0.5231693363844394
7,sttl,10,Shellcode,378,0.3941798941798942,0.48148148148148145
7,sttl,10,Worms,44,0.38636363636363635,0.5909090909090909
7,sttl,15,Analysis,677,0.7607090103397341,0.9719350073855244
7,sttl,15,Backdoor,583,0.8850771869639794,0.9605488850771869
7,sttl,15,DoS,4089,0.2817314746881878,0.8425042797750061
7,sttl,15,Exploits,11132,0.419601149838304,0.6940352137980597
7,sttl,15,Fuzzers,6062,0.5874298911250413,0.4092708677004289
7,sttl,15,Generic,18871,0.9820889195061205,0.9153727942345398
7,sttl,15,Reconnaissance,3496,0.3512585812356979,0.5231693363844394
7,sttl,15,Shellcode,378,0.3941798941798942,0.48148148148148145
7,sttl,15,Worms,44,0.38636363636363635,0.5909090909090909
7,dttl,-15,Analysis,677,0.7607090103397341,0.9231905465288035
7,dttl,-15,Backdoor,583,0.8850771869639794,0.9416809605488851
7,dttl,-15,DoS,4089,0.2822205918317437,0.8080215211543165
7,dttl,-15,Exploits,11132,0.4196909809558031,0.6010600071864894
7,dttl,-15,Fuzzers,6062,0.5877598152424942,0.31326294952161005
7,dttl,-15,Generic,18871,0.9828837899422395,0.9074240898733507
7,dttl,-15,Reconnaissance,3496,0.3512585812356979,0.4181922196796339
7,dttl,-15,Shellcode,378,0.3941798941798942,0.373015873015873
7,dttl,-15,Worms,44,0.38636363636363635,0.3409090909090909
7,dttl,-10,Analysis,677,0.7607090103397341,0.9320531757754801
7,dttl,-10,Backdoor,583,0.8850771869639794,0.9502572898799314
7,dttl,-10,DoS,4089,0.2822205918317437,0.8187820983125459
7,dttl,-10,Exploits,11132,0.4196909809558031,0.6353754940711462
7,dttl,-10,Fuzzers,6062,0.5877598152424942,0.337347410095678
7,dttl,-10,Generic,18871,0.9828837899422395,0.9091728048328123
